| name                                     | description                                                              | synonyms                                                                        | examples                                                                                | presentedBy |
| ---------------------------------------- | ------------------------------------------------------------------------ | ------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------- | ----------- |
| Antecipação negada                       | Pedido de antecipação de recebíveis foi recusado pelo sistema            | ["antecipação recusada", "pedido negado", "não consegui antecipar"]             | ["Tentei antecipar minhas vendas mas foi negado", "Minha antecipação foi recusada"]     | customer    |
| Divergência de repasse                   | Valor de repasse recebido é diferente do esperado pelo cliente           | ["repasse divergente", "valor errado no repasse", "repasse incorreto"]          | ["O valor do repasse não bate com minhas vendas", "Recebi menos do que deveria"]        | customer    |
| Erro na alteração de dados bancários     | Sistema apresenta erro ao tentar alterar a conta bancária de recebimento | ["erro ao trocar conta", "não consigo mudar banco", "falha alteração bancária"] | ["Não consigo trocar minha conta de recebimento", "Dá erro quando tento mudar o banco"] | customer    |
| Erro na ativação do plano de antecipação | Plano de antecipação automática não pode ser ativado                     | ["plano não ativa", "erro ao ativar plano", "antecipação não funciona"]         | ["Não consigo ativar o plano de antecipação", "O plano não está funcionando"]           | customer    |
| Pagamento bloqueado                      | Pagamento impedido por bloqueio sistêmico ou de segurança                | ["pagamento bloqueado", "pagamento travado", "bloqueio de pagamento"]           | ["Meu pagamento está bloqueado", "Não consigo fazer o pagamento"]                       | customer    |
| Pagamento não realizado                  | Pagamento iniciado, mas não concluído ou confirmado                      | ["pagamento não realizado", "pagamento pendente", "não pagou"]                  | ["O pagamento não caiu", "Meu pagamento não foi realizado"]                             | customer    |
| Problema de login ou senha               | Cliente não consegue acessar a conta por falha de autenticação           | ["login não funciona", "não consigo entrar", "senha não funciona"]              | ["Não consigo fazer login", "Minha senha não funciona"]                                 | customer    |
| Repasse do iFood não realizado           | Repasses originados do iFood não foram efetuados                         | ["iFood não repassou", "repasse iFood atrasado", "sem repasse iFood"]           | ["Não estou recebendo os repasses do iFood", "Meus repasses do iFood não caíram"]       | customer    |
| Repasse não realizado                    | Repasse esperado não foi efetuado                                        | ["repasse não veio", "repasse atrasado", "não recebi repasse"]                  | ["Ainda não recebi meus repasses", "O repasse não foi feito"]                           | customer    |
| Falha no reconhecimento facial           | Biometria facial não é aceita ou não funciona                            | ["biometria não funciona", "selfie não aceita", "validação facial falhou"]      | ["O reconhecimento facial não funciona", "Minha selfie não é aceita"]                   | customer    |
