| name                                   | description                                                        | synonyms                                                                          | examples                                                                                | presentedBy |
| -------------------------------------- | ------------------------------------------------------------------ | --------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------- | ----------- |
| Empréstimo indisponível                | Oferta de empréstimo não aparece para o cliente no aplicativo      | ["empréstimo não disponível", "não aparece empréstimo", "sem oferta de crédito"]  | ["Não aparece opção de empréstimo para mim", "Não tenho oferta de crédito no app"]      | customer    |
| Empréstimo negado                      | Solicitação de empréstimo foi recusada pelo sistema                | ["empréstimo recusado", "pedido negado", "crédito negado"]                        | ["Meu empréstimo foi negado", "Solicitei e foi recusado"]                               | customer    |
| Simulação de empréstimo não funciona   | Cliente não consegue realizar a simulação de empréstimo            | ["simulação não funciona", "erro na simulação", "não consigo simular"]            | ["Não consigo simular um empréstimo", "A simulação dá erro"]                            | customer    |
| Erro na contratação do empréstimo      | Fluxo de contratação do empréstimo não é concluído                 | ["erro na contratação", "não consigo contratar", "falha no empréstimo"]           | ["Não consigo finalizar a contratação", "O empréstimo dá erro ao contratar"]            | customer    |
| Contrato de empréstimo não gerado      | Contrato não foi gerado ou disponibilizado após a contratação      | ["contrato não aparece", "contrato não gerado", "sem contrato"]                   | ["Contratei e não recebi o contrato", "O contrato não aparece para mim"]                | customer    |
| Valor liberado diferente do contratado | Valor creditado é diferente do valor contratado                    | ["valor errado", "crédito diferente", "valor liberado incorreto"]                 | ["Recebi menos do que contratei", "O valor liberado está diferente"]                    | customer    |
| Boleto de parcela não gerado           | Boleto para pagamento da parcela não foi gerado                    | ["boleto não gerado", "sem boleto", "parcela sem boleto"]                         | ["Não consigo pagar porque o boleto não foi gerado", "Não aparece o boleto da parcela"] | customer    |
| Parcela paga não baixada               | Pagamento da parcela foi realizado, mas não reconhecido no sistema | ["parcela não baixou", "pagamento não reconhecido", "parcela ainda em aberto"]    | ["Paguei a parcela e continua em aberto", "O pagamento não foi baixado"]                | customer    |
| Cobrança de parcela indevida           | Valor cobrado na parcela não corresponde ao contrato               | ["parcela errada", "valor indevido", "cobrança incorreta"]                        | ["O valor da parcela está errado", "Estão cobrando a mais"]                             | customer    |
| Atraso indevido registrado             | Sistema registra atraso mesmo após pagamento realizado             | ["atraso indevido", "marcado como atrasado", "multa indevida"]                    | ["Paguei e aparece como atrasado", "Meu contrato está em atraso indevidamente"]         | customer    |
| Renegociação indisponível              | Opção de renegociação não aparece ou não funciona                  | ["renegociação não disponível", "não consigo renegociar", "erro na renegociação"] | ["Não consigo acessar a renegociação", "A opção não aparece"]                           | customer    |
| Quitação antecipada indisponível       | Opção de quitação antecipada não aparece ou não funciona           | ["quitação antecipada não funciona", "não consigo quitar", "erro na quitação"]    | ["Não consigo quitar o empréstimo", "A quitação antecipada não funciona"]               | customer    |
| Valor de quitação incorreto            | Valor informado para quitação antecipada está incorreto            | ["valor errado para quitação", "quitação incorreta", "valor indevido"]            | ["O valor para quitar está errado", "A quitação está cobrando a mais"]                  | customer    |
| Empréstimo não reconhecido             | Cliente identifica um empréstimo que afirma não ter contratado     | ["empréstimo desconhecido", "não reconheço empréstimo", "fraude empréstimo"]      | ["Não reconheço esse empréstimo", "Apareceu um empréstimo que não fiz"]                 | customer    |
